name	link	short_desc	long_desc	price	lat	long	zipcode	region	state	open_date	close_date	snowfall	vertical	summit	acres	runs	lifts	green	blue	black	double_black	terrain_parks	epic	ikon	begineers	photo
Park City	https://www.parkcitymountain.com/	Park City Mountain Resort is home to an impressive 7,300 skiable acres and is conveniently located within a 35-minute drive of Salt Lake City International Airport.	Park City Mountain Resort is home to an impressive 7,300 skiable acres and is conveniently located within a 35-minute drive of Salt Lake City International Airport. With base and summit elevations at 6,800 feet and 10,000 feet, this massive mountain boasts 348 trails, close to half of which are suited for intermediate skiers and riders. Park City Mountain Resort’s 3,200 feet of vertical drop offers up plenty of advanced and expert terrain, along with 13 bowls and eight terrain parks.With three distinct base areas, six signature properties and diverse ski-in/ski-out hotel and lodging options, Park City is a world-class destination. Outside of skiing, activities include zip lines, alpine coasters, summer mountain biking, hiking and golf. The four-season resort is situated at the center of the historic and idyllic town of Park City, Utah, with access to award-winning restaurants that are within walking distance or accessible via the city's free transportation system. If you come in January during the Sundance Film Festival for which Park City is known, you might find yourself rubbing elbows with celebrities out on the town. 	189	40.651648	-111.506927	84060	Rockies	Utah	11/22/2019	04/07/2020	355	3200	10000	7300	341	41	8	41	28	23	8	TRUE	FALSE	TRUE	https://storage.googleapis.com/blue-square-pictures/park-city.jpg
Grand Targhee Resort	https://www.grandtarghee.com/	Grand Targhee Resort located in Alta, Wyoming, within the Caribou-Targhee National Forest is notoriously known for having deep powder combined with excellent terrain options. Located near the border of Idaho and Wyoming, Grand Targhee is situated on the west side of the Grand Tetons and is consistently hit by Pacific-born storms that stack up against the Tetons.	Grand Targhee Resort located in Alta, Wyoming, within the Caribou-Targhee National Forest is notoriously known for having deep powder combined with excellent terrain options. Located near the border of Idaho and Wyoming, Grand Targhee is situated on the west side of the Grand Tetons and is consistently hit by Pacific-born storms that stack up against the Tetons. The ski area is home to an excellent trail system that has terrain options for all abilities. The resort provides guests with spectacular scenery combined with great snow and a laid-back atmosphere. The ski area is a paradise for powder lovers and is full of great diverse and fun terrain.	105	43.787307	-110.958239	83414	Rockies	Wyoming	11/30/2019	04/13/2020	500	2270	9920	2602	97	5	33	37	25	5	1	FALSE	FALSE	TRUE	https://storage.googleapis.com/blue-square-pictures/grand-targhee.jpg
Snowbasin	https://www.snowbasin.com/	Often overlooked because of the famous resorts in Park City and the Cottonwood Canyons, Snowbasin is a gem of a resort and has diverse terrain ranging from beginner to expert, with three terrain parks, wide-open bowls, trees and glades, groomers and an abundance of light, Utah powder. Downtown Ogden offers a great après scene for when it's time to retire from the slopes.	Often overlooked because of the famous resorts in Park City and the Cottonwood Canyons, Snowbasin is a gem of a resort and has diverse terrain ranging from beginner to expert, with three terrain parks, wide-open bowls, trees and glades, groomers and an abundance of light, Utah powder. Downtown Ogden offers a great après scene for when it's time to retire from the slopes.	139	41.216239	-111.856344	84317	Rockies	Utah	11/29/2019	04/12/2020	300	2900	9350	3000	107	11	7	37	47	9	4	FALSE	FALSE	FALSE	https://storage.googleapis.com/blue-square-pictures/snowbasin.jpeg
Purgatory	https://www.purgatoryresort.com/	Purgatory is located in the San Juan Mountains of southwest Colorado. About 26 miles north of the historic town of Durango, the resort is an inexpensive family destination that has gorgeous scenery combined with short lift lines and terrain options for all abilities.	Purgatory is located in the San Juan Mountains of southwest Colorado. About 26 miles north of the historic town of Durango, the resort is an inexpensive family destination that has gorgeous scenery combined with short lift lines and terrain options for all abilities.Averaging 260 inches of snow a season, Purgatory Resort offers 1,605 acres of skiable terrain. The resort’s 12 lifts allow visitors to access 101 trails and 7 terrain parks.  The resort is also close to Mesa Verde National Park, an incredible ancient city and largest archaeological preserve in the United States. The park protects nearly 5,000 archeological sites, including 600 cliff dwellings.	109	37.633997	-107.808634	81301	Rockies	Colorado	11/27/2019	4/12/2020	260	2029	10822	1650	105	12	20	45	20	15	4	FALSE	FALSE	TRUE	https://storage.googleapis.com/blue-square-pictures/purgatory.jpg
Brighton Resort	https://brightonresort.com/	Bright Ski Resort is a great destination for families, beginners and intermediate skiers. Averaging 500 inches of snow a season, the resort’s 66 trails are covered in light, fluffy snow creating a winter paradise for visitors.	Bright Ski Resort is a great destination for families, beginners and intermediate skiers. Averaging 500 inches of snow a season, the resort’s 66 trails are covered in light, fluffy snow creating a winter paradise for visitors. The resort is known for its famous ski and snowboard school with group and private lessons for every ability level. Brighton also offers night skiing with over 200 illuminated acres. The resort is a great combination of terrain and snow quality making it one of Utah’s favorites.	99	40.599563	-111.57852	84121	Rockies	Utah	11/22/2019	04/12/2020	500	1745	10500	1050	66	7	21	39	25	15	4	FALSE	TRUE	TRUE	https://storage.googleapis.com/blue-square-pictures/brighton.jpg
Tamarack Resort	https://tamarackidaho.com/	Tamarack Resort is a four-season mountain resort that offers alpine skiing, nordic skiing, backcountry skiing and snowshoeing. Tamarack is located on the west shore of Cascade Reservoir, southwest of Donnelly in Valley County, about 90 miles (145 km) north of Boise. Their slope faces East, providing minimal wind with maximum snow retention. Skiers and riders can enjoy diverse terrain that includes glades, steeps, cornices and groomers, spread out over 1000 skiable acres, accessed by 6 lifts. Tamarack averages over 300 inches of annual snowfall, and is home to a 2,800 foot vertical drop. The resort is home to several dining options and guests can enjoy top notch lodging options from townhomes and cottages to chalets and estate homes.	Tamarack Resort is a four-season mountain resort that offers alpine skiing, nordic skiing, backcountry skiing and snowshoeing. Tamarack is located on the west shore of Cascade Reservoir, southwest of Donnelly in Valley County, about 90 miles (145 km) north of Boise. Their slope faces East, providing minimal wind with maximum snow retention. Skiers and riders can enjoy diverse terrain that includes glades, steeps, cornices and groomers, spread out over 1000 skiable acres, accessed by 6 lifts. Tamarack averages over 300 inches of annual snowfall, and is home to a 2,800 foot vertical drop. The resort is home to several dining options and guests can enjoy top notch lodging options from townhomes and cottages to chalets and estate homes. 	75	44.670011	-116.123573	83615	Rockies	Idaho	12/13/2019	04/05/2020	300	2800	7700	1100	48	6	21	35	44	0	3	FALSE	FALSE	TRUE	https://storage.googleapis.com/blue-square-pictures/tamarack.jpg
Winter Park Resort	https://www.winterparkresort.com/	The ski area is known for being a very family friendly resort and has terrain for all ability types. Winter Park contains over 3,000 skiable acres that span across two distinct mountains and is home to a majority of beginner and intermediate trails. Mary Jane Mountain is home to amazing tree skiing, world-class moguls and wide open alpine bowls.	Winter Park Resort is a Colorado favorite. Originally built by the city of Denver as a "winter park" for its residents, Winter Park Resort has continually operated since 1939. The ski area is known for being a very family friendly resort and has terrain for all ability types. Winter Park contains over 3,000 skiable acres that span across two distinct mountains and is home to a majority of beginner and intermediate trails. Mary Jane Mountain is home to amazing tree skiing, world-class moguls and wide open alpine bowls. The resort contains modern amenities with an extensive well developed trail system.  The village base contains multiple lodging, dining and shopping options. Check out the resorts website early since Winter Park ski resort lift tickets are usually available for a discount if bought in advance.	189	39.886963	-105.761699	80482	Rockies	Colorado	11/02/2019	04/26/2020	360	3060	12060	3081	166	25	24	22	50	4	7	FALSE	FALSE	TRUE	https://storage.googleapis.com/blue-square-pictures/winter-park.jpeg
Sundance	https://www.sundanceresort.com/	Sundance Resort is set in a unique, small town atmosphere. The resort is set against magestic 12,000 foot Mount Timpanogos. The resort offers 42 runs spread out over 450 acres of skiable terrain. Experts will enjoy the steep, wide-open bowls while beginners and intermediates can stick to the groomed slopes. There are several restaurants and bars located at the resort, including the Bearclaw Cabin, as well as a grocery and general store. Literary, arts, music, and film are featured in Sundance's ongoing entertainment weekend series. The resort also offers night skiing on certain evenings.	Sundance Resort is set in a unique, small town atmosphere. The resort is set against magestic 12,000 foot Mount Timpanogos. The resort offers 42 runs spread out over 450 acres of skiable terrain. Experts will enjoy the steep, wide-open bowls while beginners and intermediates can stick to the groomed slopes. There are several restaurants and bars located at the resort, including the Bearclaw Cabin, as well as a grocery and general store. Literary, arts, music, and film are featured in Sundance's ongoing entertainment weekend series. The resort also offers night skiing on certain evenings.	100	40.391853	-111.575768	84604	Rockies	Utah	12/06/2019	04/07/2020	320	2150	8250	450	45	5	35	45	19	1	1	FALSE	FALSE	TRUE	https://storage.googleapis.com/blue-square-pictures/sundance.jpeg
Eagle Point	https://www.eaglepointresort.com/	Born as Mount Holly in 1972 and run as Elk Meadows until 2002, Eagle Point Ski Resort, located in southern Utah, has resurrected itself as a leaner and meaner operation. The ski area is located about 20 minutes from the town of Beaver (pop. 3,000) and caters to skiers and riders from Las Vegas, Phoenix and southern California.	Born as Mount Holly in 1972 and run as Elk Meadows until 2002, Eagle Point Ski Resort, located in southern Utah, has resurrected itself as a leaner and meaner operation. The ski area is located about 20 minutes from the town of Beaver (pop. 3,000) and caters to skiers and riders from Las Vegas, Phoenix and southern California. The resort is home to long groomed intermediate and beginner terrain mixed with excellent advanced trails. The terrain is diverse, the scenery is spectacular and the ski area is known for having a relaxed atmosphere and some of the best terrain options in Southern Utah.	65	38.320552	-112.383572	84713	Rockies	Utah	12/20/2019	03/31/2020	400	1500	10600	650	40	5	20	35	34	0	1	FALSE	FALSE	TRUE	https://storage.googleapis.com/blue-square-pictures/eagle-point.jpg
Ski Brule	https://skibrule.com/	Ski Brule in Iron River, Mich. is a family-centered resort that has made a promise for several decades that it will be the first to open (sometimes as early as October) and the last to close because of its location and snowmaking capabilities. The Rapids and Snowshoe Terrain Parks make it a favorite of snowboarders and there's even a Learn To Ride program that's free for first-timers, age 10 and up. The Homestead Lodge is popular and has the built-in coziness of a family homestead dating to 1891. There's even a tubing park on the Whitewater Trail.	Ski Brule in Iron River, Mich. is a family-centered resort that has made a promise for several decades that it will be the first to open (sometimes as early as October) and the last to close because of its location and snowmaking capabilities. The Rapids and Snowshoe Terrain Parks make it a favorite of snowboarders and there's even a Learn To Ride program that's free for first-timers, age 10 and up. The Homestead Lodge is popular and has the built-in coziness of a family homestead dating to 1891. There's even a tubing park on the Whitewater Trail.	55	46.029826	-88.700665	49935	Midwest	Michigan	11/08/2019	04/26/2020	150	500	1860	150	17	12	35	35	24	6	3	FALSE	FALSE	TRUE	https://storage.googleapis.com/blue-square-pictures/ski-brule.jpg
Okemo Mountain Resort	https://www.okemo.com/	Offering southern Vermont’s highest vertical drop of 2,200 feet and a trail network that spans 5 distinct alpine areas, Okemo Mountain Resort is a family-oriented and family-operated resort. This part is designed for skiers of all types and levels. Plus, with its multiple terrain parks and Superpipe, freestylers can also enjoy everything that this ski resort can offer.	Offering southern Vermont’s highest vertical drop of 2,200 feet and a trail network that spans 5 distinct alpine areas, Okemo Mountain Resort is a family-oriented and family-operated resort. This part is designed for skiers of all types and levels. Plus, with its multiple terrain parks and Superpipe, freestylers can also enjoy everything that this ski resort can offer.	119	43.40329	-72.715221	05149	Northeast	Vermont	11/22/2019	04/12/2020	200	2200	3344	667	121	20	33	38	21	9	9	TRUE	FALSE	TRUE	https://storage.googleapis.com/blue-square-pictures/okemo-ski.jpg
Mount Bohemia	https://www.mtbohemia.com/	Mount Bohemia, nestled in Michigan's Upper Peninsula, prides itself on being an extreme mountain where the best can test their skills and abilities to the max. Mount Bohemia is a hidden gem that receives abundant lake-effect snow and has the longest vertical in the Midwest.	Mount Bohemia, nestled in Michigan's Upper Peninsula, prides itself on being an extreme mountain where the best can test their skills and abilities to the max. Mount Bohemia is a hidden gem that receives abundant lake-effect snow and has the longest vertical in the Midwest. The terrain at Mount Bohemia is un-groomed and not suitable for beginners. Expert skiers can relish in the "Extreme Backcountry" section of the mountain, which provides a half-mile-wide forest with chutes and cliff drops.	74	47.394688	-88.012616	49950	Midwest	Michigan	12/23/2019	05/05/2020	273	900	1500	620	105	2	0	2	8	90	0	FALSE	FALSE	FALSE	https://storage.googleapis.com/blue-square-pictures/mount-bohemia.jpg
Killington Resort	https://www.killington.com/	Nicknamed the Beast for its 1,509 skiable acres and expansive network of distinct base areas, Killington Ski Resort is heralded as one of the East Coast’s best ski destinations. So, exactly how big is Killington? Killington Peak summit sits at 4,241 feet with a base elevation of 1,165 feet. The mountain is home to an extensive trail system that spans six mountains, plus sister resort, Pico Mountain, that's just a 5-mile shuttle ride away. 	Nicknamed the Beast for its 1,509 skiable acres and expansive network of distinct base areas, Killington Ski Resort is heralded as one of the East Coast’s best ski destinations. So, exactly how big is Killington? Killington Peak summit sits at 4,241 feet with a base elevation of 1,165 feet. The mountain is home to an extensive trail system that spans six mountains, plus sister resort, Pico Mountain, that's just a 5-mile shuttle ride away. Killington's terrain is extremely diverse, ranging from gentle groomers and learning areas to steep mogul runs and gladed trails as well as some of the best terrain parks in the Northeast. Non-skiing guests can also enjoy a wide variety of winter adventures, including snowmobile tours, the Beast Coaster, bike rentals, scenic gondola rides, sleigh rides, snowshoe tours and a tubing park. 	130	43.629505	-72.805515	05751	Northeast	Vermont	11/03/2019	05/24/2020	250	3050	4241	1515	155	22	28	33	24	15	6	FALSE	TRUE	TRUE	https://storage.googleapis.com/blue-square-pictures/killington-resort.jpg
Loon Mountain	https://www.loonmtn.com/	Loon Mountain ski resort is located in Lincoln, New Hampshire, within the scenic White Mountain National Forest. The ski area is within a two-hour drive of Boston and Manchester and a four-hour drive from Providence.	Loon Mountain ski resort is located in Lincoln, New Hampshire, within the scenic White Mountain National Forest. The ski area is within a two-hour drive of Boston and Manchester and a four-hour drive from Providence. The ski area is known for being an excellent family destination and provides visitors with an easily accessible mountain that contains spectacular scenery and year-round activities. Popular on-mountain summer activities and events include the Aerial Forest Adventure Park, gondola rides, bike rentals, zipline adventures and the New Hampshire Highland Games.	104	44.056661	-71.632789	03251	Northeast	New Hampshire	11/15/2019	04/12/2020	160	2100	3050	370	61	10	20	60	17	3	6	FALSE	TRUE	TRUE	https://storage.googleapis.com/blue-square-pictures/loon.jpeg
Jiminy Peak	https://www.jiminypeak.com/	Jiminy Peak is a mid-sized alpine ski resort in the northeastern United States, located in western Massachusetts in the Taconic Mountains at Hancock	Jiminy Peak is a mid-sized alpine ski resort in the northeastern United States, located in western Massachusetts in the Taconic Mountains at Hancock	91	42.555386	-73.291494	01237	Northeast	Massachusetts	11/16/2019	04/20/2020	200	1500	3100	464	63	10	23	28	34	15	1	FALSE	FALSE	TRUE	https://storage.googleapis.com/blue-square-pictures/jiminy.jpg
Sugarbush	https://www.sugarbush.com/	Sugarbush Resort is a ski resort located in the Mad River valley in Warren, Vermont. It is one of the largest ski resorts in New England. The resort encompasses more than 4000 acres (16 km²) total, 484 trail acres (2.34 km²) skiable, 53 miles (85 km) of trails, and 16 ski lifts. Sugarbush has 111 ski trails,	Sugarbush is located in Vermont’s Mad River Valley with countless adventures and activities to experience. Sugarbush has a lot to offer, so we put all the important details for your first winter visit in one convenient place. Everything from what to expect when you arrive, how to navigate once you get here, what types of adventure awaits here at Sugarbush, and tips and tricks that our helpful staff think you may be interested in.	129	44.13626	-72.89463	05675	Northeast	Vermont	11/23/2019	05/03/2020	166	2600	4083	581	111	16	23	43	27	7	4	FALSE	TRUE	TRUE	https://storage.googleapis.com/blue-square-pictures/sugarbush.jpeg
Stowe Mountain Resort	https://www.stowe.com/	Consistently ranked as one of the top-ranking ski resorts in Vermont, Stowe is as posh as it is popular. The expert terrain draws quite some attention in the Northeast with challenging trails and incredible out of bounds skiing.	With snow-covered mountains and quiet fireside retreats, winter in Stowe is winter at its peak. Discover legendary terrain, iconic trails, and an idyllic New England village that makes winter days warm and cozy. With fine attention to detail and an ambiance of alpine elegance, Stowe is the perfect place to connect, relax, and rekindle the magic that is winter.	123	42.76325	-72.74467	05672	Northeast	Vermont	11/22/2019	04/19/2020	322	2360	4395	485	116	13	16	55	15	14	0	TRUE	FALSE	TRUE	https://storage.googleapis.com/blue-square-pictures/stowe.jpg
Pico Mountain	https://www.picomountain.com/	Pico Mountain Ski Area is a ski area located in Killington, Vermont, United States. Established in 1937, it was one of the first commercial ski resorts in the state.[1] The base of the resort is located on the northwest side of Pico Peak on U.S. Route 4 approximately 9 miles (14 kilometers) northeast of Rutland, Vermont, and 3 mi (5 km) north of Killington Peak.	The mountain contains 468 acres (189 hectares) of skiable land on 58[8] trails of varying difficulty, divided into several lift areas. The trails from atop the golden express cater mainly to families and other beginner and intermediate riders. The trails which run from the peak of the mountain are generally steeper and mainly black diamond trails used by experts. They are reached via the summit express, which loads at mid mountain. Another area of Pico is Outpost. This region relies primarily on natural snow and is served by the outpost double, Pico's oldest lift. This area has seen less use in recent years. A very challenging area known as "Little Pico", has some of the toughest terrain. Pico also contains a freestyle terrain park, Triple slope, which contains small and medium size features.	89	43.6632	-72.84354	05751	Northeast	Vermont	12/14/2019	04/08/2020	250	1967	3967	468	57	7	17	44	36	3	1	FALSE	FALSE	TRUE	https://storage.googleapis.com/blue-square-pictures/pico.jpg
Mount Snow	https://www.mountsnow.com/	Located in southern Vermont in West Dover, Mount Snow is the most accessible Green Mountain getaway from southern metropolitan areas. Found on Route 100 (nine miles from Route 9 in Wilmington and 29 miles from Interstate 91), the resort is just 2.5 hours from Boston and 4 hours from New York City.	With 4 mountain faces to explore and 80% snowmaking coverage, Mount Snow is perfect for those looking for a large Vermont ski experience with great slopeside options for accommodations. Just 2.5 hours drive from Boston or 4 hours from New York City, getting the Explorer season pass also gives you access to 7 resorts in the Northeast including Mount Snow. 	118	42.97545	-72.96051	05356	Northeast	Vermont	11/11/2019	04/19/2020	156	1700	3600	600	87	20	16	67	16	1	10	TRUE	FALSE	TRUE	https://storage.googleapis.com/blue-square-pictures/mount-snow.jpg
Montage Mountain	https://www.montagemountainresorts.com/	Come explore the best and most diverse terrain Pennsylvania has to offer. With 26 trails ranging from beginner to expert, 1000 vertical feet, valley views, and full mountain night skiing, your next adventure awaits at Montage Mountain. Enjoy miles of skiing and snowboarding across 140 acres,	Come explore the best and most diverse terrain Pennsylvania has to offer. With 26 trails ranging from beginner to expert, 1000 vertical feet, valley views, and full mountain night skiing, your next adventure awaits at Montage Mountain. Enjoy miles of skiing and snowboarding across 140 acres,	50	41.34963	-75.67174	18507	Northeast	Pennsylvania	12/01/2019	04/07/2020	87	1000	1960	140	26	7	35	30	20	15	1	FALSE	FALSE	TRUE	https://storage.googleapis.com/blue-square-pictures/montage.jpeg
Jay Peak	https://jaypeakresort.com	If you've been to Jay Peak, you know our reputation is deserved—the most snow in eastern North America and a liberal in-bounds policy that ensures you can enjoy it. 81 trails, slopes and glades all wait for you, but the nooks and crannies are what really set Jay Peak apart.	Jay Peak is a four season resort in Northern Vermont, close to Canada and Burlington, and far from anything resembling ordinary. Featuring a year-round indoor waterpark, ice arena, brand new rec center, championship golf course, easygoing disc golf course and, of course, the East's best skiing and snowboarding.	88	44.87736	-72.49964	05859	Northeast	Vermont	11/22/2019	05/03/2020	355	2153	3858	385	81	8	26	50	24	0	6	FALSE	FALSE	TRUE	https://storage.googleapis.com/blue-square-pictures/jay.jpg
Brian Head Resort	https://www.brianhead.com	Brian Head Resort is Southern Utah's #1 affordable and family-friendly winter destination. With the highest base elevation in Utah, Brian Head Resort annually receives over 360 inches of epic Utah powder. The resort has 8 lifts, the largest is Giant Step Express High-Speed Detachable Quad, which has a vertical drop of 1,320 ft. Brian Head spans 650 acres and consists 71 runs. You can also take flight in the revamped terrain parks with countless features for all skill levels.	Brian Head Resort is Southern Utah's #1 affordable and family-friendly winter destination. With the highest base elevation in Utah, Brian Head Resort annually receives over 360 inches of epic Utah powder. The resort has 8 lifts, the largest is Giant Step Express High-Speed Detachable Quad, which has a vertical drop of 1,320 ft. Brian Head spans 650 acres and consists 71 runs. You can also take flight in the revamped terrain parks with countless features for all skill levels.	83	37.69802	-112.84515	84719	Rockies	Utah	11/22/2019	04/12/2020	360	1320	11307	650	71	8	30	35	32	3	2	FALSE	FALSE	TRUE	https://storage.googleapis.com/blue-square-pictures/brian-head.jpg
